RELEASE,FILENAME,SIZE,LOC_TOUCHED,LOC_added,MAX_LOC_Added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,BUGGYNESS
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,616,680,252,68.0,488,252,48.8,10,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1582,1402,275,50.07142857142857,962,194,34.357142857142854,28,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,22,80,29,13.333333333333334,22,11,3.6666666666666665,6,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,36,54,12,6.75,24,8,3.0,8,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,536,292,64,16.22222222222222,-32,8,-1.7777777777777777,18,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,176,172,76,17.2,160,75,16.0,10,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,298,170,42,12.142857142857142,30,16,2.142857142857143,14,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,40,70,15,7.0,32,15,3.2,10,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,36,26,12,4.333333333333333,12,6,2.0,6,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,0,0,0,0.0,0,0,0.0,2,1,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,74,286,113,28.6,22,13,2.2,10,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,48,62,12,7.75,44,12,5.5,8,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,640,1260,401,70.0,276,59,15.333333333333334,18,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,2268,1862,714,155.16666666666666,1456,714,121.33333333333333,12,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,10,16,4,2.0,2,1,0.25,8,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,0,6,3,1.5,0,0,0.0,4,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,10,46,16,4.6,2,1,0.2,10,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,0,10,4,1.6666666666666667,0,0,0.0,6,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,76,86,26,5.375,-20,1,-1.25,16,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,10,24,7,3.0,2,1,0.25,8,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,14,100,46,16.666666666666668,2,1,0.3333333333333333,6,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,1134,1830,520,76.25,430,75,17.916666666666668,24,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,204,180,32,12.857142857142858,100,28,7.142857142857143,14,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,234,184,28,10.222222222222221,58,18,3.2222222222222223,18,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,112,92,17,7.666666666666667,36,9,3.0,12,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,0,18,7,2.25,0,0,0.0,8,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,78,88,30,11.0,54,26,6.75,8,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,18,46,17,5.75,6,2,0.75,8,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,258,254,101,21.166666666666668,206,101,17.166666666666668,12,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,156,156,78,78.0,156,78,78.0,2,1,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,0,2,1,0.5,0,0,0.0,4,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,0,2,1,0.5,0,0,0.0,4,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,214,212,61,53.0,210,61,52.5,4,1,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,432,448,216,56.0,432,216,54.0,8,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,754,794,377,99.25,754,377,94.25,8,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,514,510,251,127.5,506,251,126.5,4,1,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,386,386,193,193.0,386,193,193.0,2,1,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,1028,1028,514,514.0,1028,514,514.0,2,1,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,408,408,204,204.0,408,204,204.0,2,1,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,288,288,144,144.0,288,144,144.0,2,1,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,196,196,98,98.0,196,98,98.0,2,1,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,58,50,9,3.5714285714285716,6,4,0.42857142857142855,14,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,170,174,71,21.75,158,68,19.75,8,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,716,560,111,25.454545454545453,368,90,16.727272727272727,22,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,150,164,75,27.333333333333332,150,75,25.0,6,3,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,80,70,8,4.375,24,7,1.5,16,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,284,220,24,12.222222222222221,60,11,3.3333333333333335,18,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,0,0,0,0.0,0,0,0.0,2,1,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,10,22,8,3.6666666666666665,2,1,0.3333333333333333,6,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,10,22,8,3.6666666666666665,2,1,0.3333333333333333,6,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,1422,142,51,11.833333333333334,-1342,2,-111.83333333333333,12,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,74,466,101,38.833333333333336,50,23,4.166666666666667,12,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,0,10,4,1.6666666666666667,0,0,0.0,6,3,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,0,10,5,2.5,0,0,0.0,4,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,0,8,4,2.0,0,0,0.0,4,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,14,22,7,3.6666666666666665,2,1,0.3333333333333333,6,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,50,8,4,1.3333333333333333,-50,0,-8.333333333333334,6,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,188,188,94,94.0,188,94,94.0,2,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,261,642,582,246,97.0,522,246,87.0,6,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,90,180,180,90,90.0,180,90,90.0,2,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,71,154,148,61,18.5,142,61,17.75,8,2,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,617,550,486,208,48.6,422,201,42.2,10,2,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,139,30,26,8,3.25,14,6,1.75,8,2,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,345,702,696,343,116.0,690,343,115.0,6,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,47,94,94,47,47.0,94,47,47.0,2,1,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,47,94,94,47,47.0,94,47,47.0,2,1,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,47,94,94,47,47.0,94,47,47.0,2,1,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,46,92,92,46,46.0,92,46,46.0,2,1,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,47,94,94,47,47.0,94,47,47.0,2,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,136,272,272,136,136.0,272,136,136.0,2,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,261,522,522,261,261.0,522,261,261.0,2,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,113,226,228,113,57.0,226,113,56.5,4,1,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,258,20,44,16,5.5,4,1,0.5,8,3,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,257,198,300,37,12.5,162,34,6.75,24,3,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,242,116,86,20,7.166666666666667,20,8,1.6666666666666667,12,3,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,305,36,68,24,5.666666666666667,0,1,0.0,12,3,true
