TICKET ID ; IV ; OV ; FV ; AV 
ACCUMULO-5;0;1;9;[null]
ACCUMULO-7;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-51;0;1;7;[null]
ACCUMULO-52;0;1;9;[null]
ACCUMULO-53;1;1;3;[1, 2]
ACCUMULO-54;0;1;3;[null]
ACCUMULO-55;1;1;3;[1, 2]
ACCUMULO-56;0;1;8;[null]
ACCUMULO-58;1;1;7;[1, 2, 3, 4, 5, 6]
ACCUMULO-59;0;1;7;[null]
ACCUMULO-60;0;1;9;[null]
ACCUMULO-63;0;1;6;[null]
ACCUMULO-64;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-65;0;1;8;[null]
ACCUMULO-66;0;1;5;[null]
ACCUMULO-71;0;1;6;[null]
ACCUMULO-72;0;1;6;[null]
ACCUMULO-73;0;1;6;[null]
ACCUMULO-79;1;1;7;[1, 2, 3, 4, 5, 6]
ACCUMULO-83;0;1;6;[null]
ACCUMULO-88;0;1;6;[null]
ACCUMULO-89;0;1;14;[null]
ACCUMULO-91;0;1;7;[null]
ACCUMULO-93;0;1;8;[null]
ACCUMULO-94;0;1;6;[null]
ACCUMULO-95;0;1;7;[null]
ACCUMULO-98;0;1;7;[null]
ACCUMULO-99;0;1;12;[null]
ACCUMULO-100;0;1;9;[null]
ACCUMULO-102;1;1;8;[1, 2, 3, 4, 5, 6, 7]
ACCUMULO-104;0;1;9;[null]
ACCUMULO-107;1;1;8;[1, 2, 3, 4, 5, 6, 7]
ACCUMULO-108;0;1;14;[null]
ACCUMULO-109;0;1;7;[null]
ACCUMULO-110;0;1;7;[null]
ACCUMULO-113;0;1;8;[null]
ACCUMULO-117;0;1;14;[null]
ACCUMULO-122;0;1;10;[null]
ACCUMULO-124;0;1;9;[null]
ACCUMULO-126;1;1;12;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
ACCUMULO-128;0;1;8;[null]
ACCUMULO-130;0;1;9;[null]
ACCUMULO-151;0;1;14;[null]
ACCUMULO-157;0;1;9;[null]
ACCUMULO-158;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-165;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-166;0;1;9;[null]
ACCUMULO-170;0;1;9;[null]
ACCUMULO-176;0;1;9;[null]
ACCUMULO-177;0;1;9;[null]
ACCUMULO-179;1;1;14;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
ACCUMULO-182;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-184;1;1;14;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
ACCUMULO-189;0;1;11;[null]
ACCUMULO-191;0;1;12;[null]
ACCUMULO-192;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-193;1;1;10;[1, 2, 3, 4, 5, 6, 7, 8, 9]
ACCUMULO-194;0;1;10;[null]
ACCUMULO-195;0;1;12;[null]
ACCUMULO-202;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-204;0;1;12;[null]
ACCUMULO-205;0;1;9;[null]
ACCUMULO-207;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-209;1;1;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-214;0;1;11;[null]
ACCUMULO-215;0;1;9;[null]
ACCUMULO-216;1;1;10;[1, 2, 3, 4, 5, 6, 7, 8, 9]
ACCUMULO-217;1;1;11;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
ACCUMULO-219;0;1;10;[null]
ACCUMULO-226;1;2;10;[1, 2, 3, 4, 5, 6, 7, 8, 9]
ACCUMULO-230;0;2;9;[null]
ACCUMULO-235;0;2;9;[null]
ACCUMULO-236;1;2;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-237;1;2;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-240;1;2;9;[1, 2, 3, 4, 5, 6, 7, 8]
ACCUMULO-243;1;2;11;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
ACCUMULO-264;0;2;14;[null]
ACCUMULO-267;0;2;14;[null]
ACCUMULO-269;2;2;14;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
ACCUMULO-270;0;2;12;[null]
ACCUMULO-292;2;2;12;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
ACCUMULO-293;1;2;12;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
ACCUMULO-301;0;2;12;[null]
ACCUMULO-308;0;2;14;[null]
ACCUMULO-309;2;2;12;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
ACCUMULO-310;2;2;12;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
ACCUMULO-315;0;2;13;[null]
ACCUMULO-317;0;2;14;[null]
ACCUMULO-322;2;2;14;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
ACCUMULO-324;2;2;14;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
ACCUMULO-329;0;2;14;[null]
ACCUMULO-356;0;2;14;[null]
ACCUMULO-357;0;2;14;[null]
ACCUMULO-424;0;2;2;[null]
ACCUMULO-427;0;2;2;[null]
ACCUMULO-486;2;2;2;[]
ACCUMULO-487;1;2;3;[1, 2]
