TICKET ID ; IV ; OV ; FV ; AV 
AVRO-39;0;1;12;[null]
AVRO-40;0;1;8;[null]
AVRO-44;0;1;8;[null]
AVRO-45;0;1;7;[null]
AVRO-46;0;1;15;[null]
AVRO-47;0;1;15;[null]
AVRO-51;0;1;8;[null]
AVRO-61;0;1;8;[null]
AVRO-64;0;1;10;[null]
AVRO-75;0;1;10;[null]
AVRO-77;1;1;12;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
AVRO-78;1;2;11;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
AVRO-79;0;2;11;[null]
AVRO-87;0;2;15;[null]
AVRO-88;0;2;15;[null]
AVRO-90;2;2;15;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
AVRO-101;1;2;17;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
AVRO-382;4;4;4;[]
AVRO-385;0;4;4;[null]
AVRO-387;4;4;4;[]
AVRO-389;0;4;4;[null]
AVRO-390;0;4;4;[null]
AVRO-398;0;4;4;[null]
AVRO-407;0;4;4;[null]
AVRO-408;0;4;4;[null]
AVRO-411;0;4;4;[null]
AVRO-413;0;4;4;[null]
AVRO-416;4;4;4;[]
AVRO-417;4;4;4;[]
AVRO-418;0;4;5;[null]
AVRO-421;0;4;4;[null]
AVRO-422;0;4;4;[null]
AVRO-424;4;4;4;[]
AVRO-431;4;4;5;[4]
AVRO-433;5;5;5;[]
AVRO-437;5;5;5;[]
AVRO-440;5;5;5;[]
AVRO-441;4;5;8;[4, 5, 6, 7]
AVRO-447;4;5;8;[4, 5, 6, 7]
AVRO-448;5;5;5;[]
AVRO-450;1;5;7;[1, 2, 3, 4, 5, 6]
AVRO-461;4;5;7;[4, 5, 6]
AVRO-479;6;6;6;[]
AVRO-480;0;6;6;[null]
AVRO-487;6;6;6;[]
AVRO-489;5;6;7;[5, 6]
AVRO-496;0;7;7;[null]
AVRO-499;7;7;7;[]
AVRO-500;7;7;7;[]
AVRO-501;7;7;7;[]
AVRO-502;7;7;7;[]
AVRO-510;6;7;8;[6, 7]
AVRO-515;0;7;7;[null]
AVRO-516;0;7;7;[null]
AVRO-517;7;7;7;[]
AVRO-518;0;7;7;[null]
AVRO-521;7;7;7;[]
AVRO-524;0;7;7;[null]
AVRO-527;0;7;7;[null]
AVRO-537;6;7;9;[6, 7, 8]
AVRO-541;0;7;8;[null]
AVRO-548;0;7;7;[null]
AVRO-554;7;7;7;[]
AVRO-562;7;7;7;[]
AVRO-571;0;8;8;[null]
AVRO-573;0;8;8;[null]
AVRO-583;8;8;8;[]
AVRO-589;8;8;8;[]
AVRO-590;0;8;8;[null]
AVRO-596;8;8;8;[]
AVRO-598;8;8;8;[]
AVRO-604;0;8;8;[null]
AVRO-609;0;8;8;[null]
AVRO-612;8;8;8;[]
AVRO-618;8;8;8;[]
AVRO-620;0;8;8;[null]
AVRO-622;0;8;8;[null]
AVRO-631;0;8;8;[null]
AVRO-632;0;8;8;[null]
AVRO-633;8;8;8;[]
AVRO-640;0;8;8;[null]
AVRO-643;8;8;10;[8, 9]
AVRO-650;0;8;8;[null]
AVRO-652;0;8;8;[null]
AVRO-653;8;8;8;[]
AVRO-657;8;8;9;[8]
AVRO-663;8;9;10;[8, 9]
AVRO-664;9;9;9;[]
AVRO-666;0;9;9;[null]
AVRO-667;9;9;9;[]
AVRO-669;0;9;10;[null]
AVRO-671;0;9;9;[null]
AVRO-675;8;9;10;[8, 9]
AVRO-681;10;10;10;[]
AVRO-685;10;10;10;[]
AVRO-688;10;10;10;[]
AVRO-693;0;10;10;[null]
AVRO-694;10;10;10;[]
AVRO-696;0;10;10;[null]
AVRO-701;10;10;10;[]
AVRO-702;10;10;10;[]
AVRO-704;10;10;10;[]
AVRO-705;10;10;10;[]
AVRO-706;10;10;10;[]
AVRO-708;10;10;10;[]
AVRO-710;10;10;10;[]
AVRO-713;10;10;10;[]
AVRO-717;10;10;10;[]
AVRO-722;10;10;10;[]
AVRO-723;10;10;10;[]
AVRO-733;10;10;10;[]
AVRO-736;10;10;10;[]
AVRO-740;0;10;10;[null]
AVRO-741;0;10;10;[null]
AVRO-742;0;10;10;[null]
AVRO-743;10;10;10;[]
AVRO-745;0;10;10;[null]
AVRO-746;0;10;12;[null]
AVRO-749;0;10;10;[null]
AVRO-755;10;10;10;[]
AVRO-759;10;10;10;[]
AVRO-761;10;10;10;[]
AVRO-764;10;10;10;[]
AVRO-772;10;10;10;[]
AVRO-775;10;10;10;[]
AVRO-776;10;10;12;[10, 11]
AVRO-780;11;11;11;[]
AVRO-786;0;11;11;[null]
AVRO-790;0;11;11;[null]
AVRO-793;11;11;11;[]
AVRO-801;11;11;11;[]
AVRO-809;10;11;12;[10, 11]
AVRO-815;12;12;12;[]
AVRO-818;12;12;12;[]
AVRO-819;12;12;12;[]
AVRO-820;12;12;12;[]
AVRO-824;0;12;12;[null]
AVRO-825;12;12;12;[]
AVRO-832;0;12;12;[null]
AVRO-833;0;12;12;[null]
AVRO-835;0;12;17;[null]
AVRO-842;12;12;12;[]
AVRO-845;12;12;12;[]
AVRO-861;12;12;12;[]
AVRO-864;0;12;12;[null]
AVRO-869;0;12;15;[null]
AVRO-871;0;12;15;[null]
AVRO-879;0;13;13;[null]
AVRO-884;14;14;14;[]
AVRO-892;15;15;15;[]
AVRO-894;15;15;15;[]
AVRO-895;15;15;15;[]
AVRO-898;15;15;15;[]
AVRO-901;0;15;15;[null]
AVRO-902;15;15;15;[]
AVRO-903;15;15;15;[]
AVRO-904;15;15;15;[]
