TICKET ID ; IV ; OV ; FV ; AV 
BOOKKEEPER-18;0;1;3;[null]
BOOKKEEPER-21;0;1;2;[null]
BOOKKEEPER-22;0;1;2;[null]
BOOKKEEPER-24;0;1;3;[null]
BOOKKEEPER-27;0;1;3;[null]
BOOKKEEPER-28;0;1;3;[null]
BOOKKEEPER-29;0;1;3;[null]
BOOKKEEPER-38;1;1;3;[1, 2]
BOOKKEEPER-40;0;1;3;[null]
BOOKKEEPER-42;0;1;7;[null]
BOOKKEEPER-50;1;1;5;[1, 2, 3, 4]
BOOKKEEPER-51;1;1;3;[1, 2]
BOOKKEEPER-52;1;1;5;[1, 2, 3, 4]
BOOKKEEPER-53;1;1;3;[1, 2]
BOOKKEEPER-56;1;1;7;[1, 2, 3, 4, 5, 6]
BOOKKEEPER-66;0;1;7;[null]
BOOKKEEPER-112;0;1;2;[null]
BOOKKEEPER-113;0;1;2;[null]
BOOKKEEPER-115;0;1;1;[null]
BOOKKEEPER-118;1;1;1;[]
BOOKKEEPER-119;0;1;1;[null]
BOOKKEEPER-124;0;1;1;[null]
BOOKKEEPER-125;0;1;1;[null]
BOOKKEEPER-127;0;1;1;[null]
BOOKKEEPER-128;0;1;1;[null]
BOOKKEEPER-129;1;1;1;[]
BOOKKEEPER-131;1;1;1;[]
BOOKKEEPER-133;1;1;2;[1]
BOOKKEEPER-134;0;1;1;[null]
BOOKKEEPER-135;0;1;2;[null]
BOOKKEEPER-137;0;1;2;[null]
BOOKKEEPER-138;0;1;1;[null]
BOOKKEEPER-139;0;1;1;[null]
BOOKKEEPER-140;1;1;2;[1]
BOOKKEEPER-142;2;2;2;[]
BOOKKEEPER-146;0;2;2;[null]
BOOKKEEPER-148;0;2;2;[null]
BOOKKEEPER-150;2;2;2;[]
BOOKKEEPER-152;2;2;2;[]
BOOKKEEPER-153;2;2;2;[]
BOOKKEEPER-156;2;2;2;[]
BOOKKEEPER-161;0;2;2;[null]
BOOKKEEPER-162;2;2;2;[]
BOOKKEEPER-163;2;2;2;[]
BOOKKEEPER-166;0;2;2;[null]
BOOKKEEPER-167;2;2;2;[]
BOOKKEEPER-169;2;2;2;[]
BOOKKEEPER-170;0;2;2;[null]
BOOKKEEPER-171;0;2;2;[null]
BOOKKEEPER-173;0;2;2;[null]
BOOKKEEPER-174;2;2;2;[]
BOOKKEEPER-176;0;2;2;[null]
BOOKKEEPER-177;0;2;2;[null]
BOOKKEEPER-180;0;2;2;[null]
BOOKKEEPER-182;0;2;2;[null]
BOOKKEEPER-184;0;2;2;[null]
BOOKKEEPER-186;2;2;2;[]
BOOKKEEPER-188;0;2;2;[null]
BOOKKEEPER-189;0;2;2;[null]
BOOKKEEPER-190;0;2;2;[null]
BOOKKEEPER-193;0;2;2;[null]
