TICKET ID ; IV ; OV ; FV ; AV 
OPENJPA-31;0;1;10;[null]
OPENJPA-32;0;1;6;[null]
OPENJPA-34;0;1;10;[null]
OPENJPA-35;1;2;7;[1, 2, 3, 4, 5, 6]
OPENJPA-41;0;2;8;[null]
OPENJPA-44;0;2;10;[null]
OPENJPA-46;0;2;13;[null]
OPENJPA-50;0;2;7;[null]
OPENJPA-51;1;2;8;[1, 2, 3, 4, 5, 6, 7]
OPENJPA-53;0;2;11;[null]
OPENJPA-54;0;2;8;[null]
OPENJPA-56;0;2;10;[null]
OPENJPA-59;0;2;13;[null]
OPENJPA-60;0;2;13;[null]
OPENJPA-61;0;2;9;[null]
OPENJPA-68;0;2;17;[null]
OPENJPA-76;0;2;17;[null]
OPENJPA-77;0;2;12;[null]
OPENJPA-80;0;2;17;[null]
OPENJPA-90;0;3;14;[null]
OPENJPA-91;0;3;12;[null]
OPENJPA-98;0;3;17;[null]
OPENJPA-100;0;3;18;[null]
OPENJPA-102;0;3;17;[null]
OPENJPA-103;0;3;13;[null]
OPENJPA-104;0;3;17;[null]
OPENJPA-107;0;3;17;[null]
OPENJPA-109;0;3;18;[null]
OPENJPA-110;0;3;17;[null]
OPENJPA-112;0;3;17;[null]
OPENJPA-113;0;3;13;[null]
OPENJPA-115;0;3;17;[null]
OPENJPA-116;0;3;14;[null]
OPENJPA-118;0;3;18;[null]
OPENJPA-119;0;3;17;[null]
OPENJPA-123;0;3;17;[null]
OPENJPA-133;0;3;18;[null]
OPENJPA-139;0;3;14;[null]
OPENJPA-140;0;3;17;[null]
OPENJPA-143;0;3;17;[null]
OPENJPA-154;0;3;17;[null]
OPENJPA-295;4;4;4;[]
OPENJPA-303;4;4;4;[]
OPENJPA-304;4;4;4;[]
OPENJPA-308;4;4;4;[]
OPENJPA-311;4;4;4;[]
OPENJPA-312;4;4;4;[]
OPENJPA-313;0;4;10;[null]
OPENJPA-314;0;4;4;[null]
OPENJPA-315;0;4;4;[null]
OPENJPA-320;4;4;4;[]
OPENJPA-321;4;4;4;[]
OPENJPA-323;4;4;4;[]
OPENJPA-325;4;4;4;[]
OPENJPA-326;4;4;4;[]
OPENJPA-329;0;4;6;[null]
OPENJPA-331;3;4;6;[3, 4, 5]
OPENJPA-335;4;4;5;[4]
OPENJPA-339;3;4;5;[3, 4]
OPENJPA-340;0;5;10;[null]
OPENJPA-343;5;5;5;[]
OPENJPA-345;5;5;5;[]
OPENJPA-346;5;5;5;[]
OPENJPA-347;5;5;5;[]
OPENJPA-349;4;5;8;[4, 5, 6, 7]
OPENJPA-353;5;5;5;[]
OPENJPA-355;5;5;5;[]
OPENJPA-356;5;5;5;[]
OPENJPA-357;3;5;6;[3, 4, 5]
OPENJPA-358;3;5;6;[3, 4, 5]
OPENJPA-359;4;5;7;[4, 5, 6]
OPENJPA-360;5;5;5;[]
OPENJPA-361;5;5;5;[]
OPENJPA-363;5;5;5;[]
OPENJPA-364;5;5;5;[]
OPENJPA-365;0;5;10;[null]
OPENJPA-366;5;5;5;[]
OPENJPA-367;5;5;5;[]
OPENJPA-368;3;5;9;[3, 4, 5, 6, 7, 8]
OPENJPA-369;5;5;5;[]
OPENJPA-375;5;5;5;[]
OPENJPA-378;4;5;8;[4, 5, 6, 7]
OPENJPA-379;5;5;5;[]
OPENJPA-380;5;5;5;[]
OPENJPA-382;0;5;5;[null]
OPENJPA-385;4;5;9;[4, 5, 6, 7, 8]
OPENJPA-386;3;5;13;[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-387;5;5;5;[]
OPENJPA-388;5;5;5;[]
OPENJPA-389;5;5;5;[]
OPENJPA-392;1;5;7;[1, 2, 3, 4, 5, 6]
OPENJPA-394;5;5;5;[]
OPENJPA-395;5;5;5;[]
OPENJPA-396;5;5;5;[]
OPENJPA-397;5;5;5;[]
OPENJPA-399;5;5;5;[]
OPENJPA-401;4;5;6;[4, 5]
OPENJPA-402;5;5;9;[5, 6, 7, 8]
OPENJPA-403;5;5;5;[]
OPENJPA-405;0;5;5;[null]
OPENJPA-409;5;5;5;[]
OPENJPA-410;5;5;5;[]
OPENJPA-413;5;5;5;[]
OPENJPA-415;5;5;5;[]
OPENJPA-416;5;5;5;[]
OPENJPA-419;1;5;6;[1, 2, 3, 4, 5]
OPENJPA-420;4;5;6;[4, 5]
OPENJPA-421;5;5;5;[]
OPENJPA-422;5;5;5;[]
OPENJPA-423;5;5;5;[]
OPENJPA-425;5;5;5;[]
OPENJPA-427;4;5;6;[4, 5]
OPENJPA-437;4;5;6;[4, 5]
OPENJPA-439;6;6;6;[]
OPENJPA-442;1;6;7;[1, 2, 3, 4, 5, 6]
OPENJPA-446;5;6;10;[5, 6, 7, 8, 9]
OPENJPA-447;6;6;6;[]
OPENJPA-452;0;6;6;[null]
OPENJPA-455;6;6;6;[]
OPENJPA-456;6;6;6;[]
OPENJPA-458;5;6;10;[5, 6, 7, 8, 9]
OPENJPA-459;4;6;14;[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
OPENJPA-460;6;6;6;[]
OPENJPA-462;3;6;10;[3, 4, 5, 6, 7, 8, 9]
OPENJPA-464;6;6;6;[]
OPENJPA-466;4;6;13;[4, 5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-470;1;6;8;[1, 2, 3, 4, 5, 6, 7]
OPENJPA-471;6;6;6;[]
OPENJPA-481;6;6;6;[]
OPENJPA-484;5;6;7;[5, 6]
OPENJPA-485;0;6;10;[null]
OPENJPA-489;6;6;6;[]
OPENJPA-495;0;6;6;[null]
OPENJPA-497;5;6;9;[5, 6, 7, 8]
OPENJPA-498;6;6;6;[]
OPENJPA-505;6;6;6;[]
OPENJPA-506;6;6;6;[]
OPENJPA-508;6;6;6;[]
OPENJPA-509;0;6;6;[null]
OPENJPA-511;6;6;6;[]
OPENJPA-512;1;6;7;[1, 2, 3, 4, 5, 6]
OPENJPA-516;6;6;6;[]
OPENJPA-518;5;6;7;[5, 6]
OPENJPA-525;4;7;13;[4, 5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-528;0;7;7;[null]
OPENJPA-530;7;7;7;[]
OPENJPA-532;7;7;7;[]
OPENJPA-533;4;7;8;[4, 5, 6, 7]
OPENJPA-535;7;7;7;[]
OPENJPA-536;6;7;11;[6, 7, 8, 9, 10]
OPENJPA-537;7;7;7;[]
OPENJPA-539;7;7;7;[]
OPENJPA-540;7;7;7;[]
OPENJPA-542;7;7;7;[]
OPENJPA-543;7;7;7;[]
OPENJPA-547;0;7;7;[null]
OPENJPA-550;6;7;9;[6, 7, 8]
OPENJPA-552;7;7;7;[]
OPENJPA-554;7;7;7;[]
OPENJPA-557;6;7;10;[6, 7, 8, 9]
OPENJPA-559;7;7;7;[]
OPENJPA-562;7;7;10;[7, 8, 9]
OPENJPA-565;7;7;7;[]
OPENJPA-567;7;7;7;[]
OPENJPA-573;6;7;12;[6, 7, 8, 9, 10, 11]
OPENJPA-574;7;7;8;[7]
OPENJPA-576;0;7;7;[null]
OPENJPA-577;7;7;7;[]
OPENJPA-579;7;7;8;[7]
OPENJPA-580;0;7;10;[null]
OPENJPA-581;1;7;8;[1, 2, 3, 4, 5, 6, 7]
OPENJPA-585;7;7;8;[7]
OPENJPA-587;7;7;8;[7]
OPENJPA-588;0;7;8;[null]
OPENJPA-590;0;7;7;[null]
OPENJPA-594;5;7;13;[5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-595;7;7;7;[]
OPENJPA-596;0;7;7;[null]
OPENJPA-597;7;7;8;[7]
OPENJPA-602;7;7;8;[7]
OPENJPA-605;0;7;13;[null]
OPENJPA-606;1;7;13;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-607;0;8;8;[null]
OPENJPA-612;0;8;8;[null]
OPENJPA-614;0;8;8;[null]
OPENJPA-617;0;8;8;[null]
OPENJPA-619;7;8;9;[7, 8]
OPENJPA-622;8;8;13;[8, 9, 10, 11, 12]
OPENJPA-625;8;8;8;[]
OPENJPA-628;7;8;9;[7, 8]
OPENJPA-629;1;8;13;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-630;8;8;8;[]
