TICKET ID ; IV ; OV ; FV ; AV 
STORM-75;0;2;8;[null]
STORM-86;0;2;7;[null]
STORM-87;0;2;8;[null]
STORM-113;0;2;11;[null]
STORM-139;0;2;8;[null]
STORM-143;0;2;12;[null]
STORM-155;0;2;8;[null]
STORM-186;0;2;11;[null]
STORM-194;0;2;11;[null]
STORM-195;0;2;11;[null]
STORM-395;0;4;4;[null]
STORM-396;4;4;4;[]
STORM-399;4;4;4;[]
STORM-401;0;4;4;[null]
STORM-402;4;4;4;[]
STORM-403;0;4;4;[null]
STORM-406;4;4;4;[]
STORM-415;0;4;4;[null]
STORM-417;0;4;4;[null]
STORM-419;0;4;4;[null]
STORM-420;4;4;4;[]
STORM-422;2;4;5;[2, 3, 4]
STORM-424;4;4;4;[]
STORM-427;0;4;4;[null]
STORM-437;4;4;4;[]
STORM-439;4;4;4;[]
STORM-442;4;4;12;[4, 5, 6, 7, 8, 9, 10, 11]
STORM-443;4;4;4;[]
STORM-447;0;4;4;[null]
STORM-449;0;4;4;[null]
STORM-451;4;4;4;[]
STORM-454;4;4;4;[]
STORM-456;2;4;5;[2, 3, 4]
STORM-458;4;4;4;[]
STORM-460;0;4;4;[null]
STORM-461;0;4;4;[null]
STORM-464;4;4;4;[]
STORM-468;3;4;8;[3, 4, 5, 6, 7]
STORM-472;4;4;4;[]
STORM-475;4;4;4;[]
STORM-476;4;4;4;[]
STORM-477;3;4;7;[3, 4, 5, 6]
STORM-479;0;4;4;[null]
STORM-480;0;4;4;[null]
STORM-482;0;4;4;[null]
STORM-485;0;4;4;[null]
STORM-486;0;4;4;[null]
STORM-488;4;4;4;[]
STORM-489;0;4;4;[null]
STORM-490;4;4;4;[]
STORM-492;0;4;4;[null]
STORM-493;4;4;4;[]
STORM-496;0;4;5;[null]
STORM-497;4;4;4;[]
STORM-499;4;4;4;[]
STORM-500;4;4;4;[]
STORM-501;4;4;4;[]
STORM-502;0;4;4;[null]
STORM-503;3;4;7;[3, 4, 5, 6]
STORM-504;0;4;4;[null]
STORM-505;0;4;5;[null]
STORM-506;4;4;4;[]
STORM-507;4;4;4;[]
STORM-509;0;4;4;[null]
STORM-511;4;4;4;[]
STORM-512;0;4;6;[null]
STORM-513;3;4;5;[3, 4]
STORM-525;3;4;5;[3, 4]
STORM-527;4;4;5;[4]
STORM-529;4;4;4;[]
STORM-537;4;4;4;[]
STORM-538;4;4;4;[]
STORM-539;0;4;5;[null]
STORM-546;0;4;4;[null]
STORM-548;0;4;5;[null]
STORM-549;4;4;4;[]
STORM-554;0;4;5;[null]
STORM-555;0;4;4;[null]
STORM-558;0;4;4;[null]
STORM-563;0;4;6;[null]
STORM-565;0;4;5;[null]
STORM-566;0;4;7;[null]
STORM-577;0;5;5;[null]
STORM-578;0;5;5;[null]
STORM-583;4;5;6;[4, 5]
STORM-584;1;5;8;[1, 2, 3, 4, 5, 6, 7]
STORM-585;5;5;5;[]
STORM-586;5;5;5;[]
STORM-596;0;5;6;[null]
STORM-603;0;5;6;[null]
STORM-608;5;5;5;[]
STORM-610;0;5;5;[null]
STORM-611;0;5;5;[null]
STORM-612;0;5;5;[null]
STORM-613;0;5;5;[null]
STORM-620;0;5;5;[null]
STORM-625;0;5;5;[null]
STORM-627;5;5;5;[]
STORM-630;0;5;5;[null]
STORM-633;5;5;5;[]
STORM-636;0;5;5;[null]
STORM-640;0;5;5;[null]
STORM-641;0;5;5;[null]
STORM-643;3;5;7;[3, 4, 5, 6]
STORM-648;0;5;5;[null]
STORM-649;0;5;5;[null]
STORM-651;0;5;6;[null]
STORM-659;5;5;5;[]
STORM-670;0;5;5;[null]
STORM-675;0;5;5;[null]
STORM-682;0;5;5;[null]
STORM-683;0;5;5;[null]
STORM-684;0;5;5;[null]
STORM-685;5;5;5;[]
STORM-687;0;5;5;[null]
STORM-688;0;5;5;[null]
STORM-690;0;5;5;[null]
STORM-693;5;5;5;[]
STORM-694;0;5;6;[null]
STORM-695;4;5;8;[4, 5, 6, 7]
STORM-703;0;5;5;[null]
STORM-708;0;5;6;[null]
STORM-711;4;5;6;[4, 5]
STORM-713;4;5;6;[4, 5]
STORM-715;0;5;6;[null]
STORM-723;0;6;6;[null]
STORM-727;0;6;6;[null]
STORM-728;6;6;7;[6]
STORM-729;0;6;6;[null]
STORM-730;0;6;6;[null]
STORM-737;6;6;6;[]
STORM-740;6;6;6;[]
STORM-742;4;6;7;[4, 5, 6]
STORM-745;6;6;6;[]
STORM-747;0;6;6;[null]
STORM-750;0;6;6;[null]
STORM-751;0;6;6;[null]
STORM-757;0;6;6;[null]
STORM-760;0;6;7;[null]
STORM-762;0;6;6;[null]
STORM-763;5;6;7;[5, 6]
STORM-766;0;6;6;[null]
STORM-772;0;6;6;[null]
STORM-773;0;6;6;[null]
STORM-786;0;6;6;[null]
STORM-787;0;6;6;[null]
STORM-788;6;6;6;[]
STORM-790;6;6;6;[]
STORM-791;0;6;6;[null]
STORM-793;0;6;7;[null]
STORM-794;4;6;8;[4, 5, 6, 7]
STORM-796;6;6;6;[]
STORM-797;0;6;6;[null]
STORM-800;0;6;6;[null]
STORM-807;0;6;6;[null]
STORM-808;0;6;6;[null]
STORM-809;0;6;7;[null]
STORM-811;0;6;6;[null]
STORM-813;1;6;7;[1, 2, 3, 4, 5, 6]
STORM-816;0;6;6;[null]
STORM-818;6;6;6;[]
STORM-827;0;6;6;[null]
STORM-829;0;6;7;[null]
STORM-837;0;6;7;[null]
STORM-839;5;6;7;[5, 6]
STORM-842;0;6;6;[null]
STORM-849;0;7;7;[null]
STORM-850;0;7;7;[null]
STORM-852;7;7;7;[]
STORM-853;0;7;7;[null]
