TICKET ID ; IV ; OV ; FV ; AV 
SYNCOPE-3;1;1;19;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]
SYNCOPE-21;1;1;7;[1, 2, 3, 4, 5, 6]
SYNCOPE-23;1;1;7;[1, 2, 3, 4, 5, 6]
SYNCOPE-27;1;1;18;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
SYNCOPE-29;1;1;18;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
SYNCOPE-30;1;1;16;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
SYNCOPE-31;1;1;19;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]
SYNCOPE-32;1;1;8;[1, 2, 3, 4, 5, 6, 7]
SYNCOPE-33;1;1;11;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
SYNCOPE-34;1;1;16;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
SYNCOPE-36;1;1;12;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
SYNCOPE-37;1;1;13;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
SYNCOPE-39;1;1;19;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]
SYNCOPE-40;1;1;16;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
SYNCOPE-41;1;1;15;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
SYNCOPE-43;1;1;16;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
SYNCOPE-46;1;1;18;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
SYNCOPE-48;1;1;18;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
