TICKET ID ; IV ; OV ; FV ; AV 
TAJO-10;0;1;4;[null]
TAJO-25;0;1;1;[null]
TAJO-38;0;1;2;[null]
TAJO-41;1;1;2;[1]
TAJO-46;0;1;2;[null]
TAJO-47;0;1;2;[null]
TAJO-48;0;1;2;[null]
TAJO-54;0;1;2;[null]
TAJO-65;0;1;2;[null]
TAJO-66;0;1;3;[null]
TAJO-80;0;1;3;[null]
TAJO-82;0;1;3;[null]
TAJO-89;0;1;3;[null]
TAJO-103;1;1;4;[1, 2, 3]
TAJO-137;0;1;5;[null]
TAJO-158;1;1;5;[1, 2, 3, 4]
TAJO-226;0;1;1;[null]
TAJO-241;1;1;1;[]
TAJO-242;0;1;1;[null]
TAJO-243;0;1;1;[null]
TAJO-244;0;1;1;[null]
TAJO-245;0;1;1;[null]
TAJO-250;0;1;1;[null]
TAJO-257;0;1;1;[null]
TAJO-262;1;1;1;[]
TAJO-264;1;1;1;[]
TAJO-268;0;1;2;[null]
TAJO-272;0;1;1;[null]
TAJO-273;0;1;1;[null]
TAJO-277;1;1;1;[]
TAJO-281;0;1;1;[null]
TAJO-290;0;1;2;[null]
TAJO-292;1;1;2;[1]
TAJO-293;1;1;1;[]
TAJO-294;0;1;1;[null]
TAJO-295;1;1;1;[]
TAJO-296;0;1;2;[null]
TAJO-320;2;2;2;[]
TAJO-321;2;2;2;[]
TAJO-326;0;2;2;[null]
TAJO-332;2;2;2;[]
TAJO-340;0;2;1;[null]
TAJO-344;0;2;2;[null]
TAJO-345;0;2;2;[null]
TAJO-347;0;2;2;[null]
TAJO-354;0;2;2;[null]
TAJO-357;0;2;2;[null]
TAJO-360;0;2;2;[null]
TAJO-372;0;2;2;[null]
TAJO-375;0;2;2;[null]
TAJO-387;0;2;2;[null]
TAJO-388;0;2;2;[null]
TAJO-389;2;2;2;[]
TAJO-390;0;2;2;[null]
TAJO-393;0;2;2;[null]
TAJO-403;2;2;2;[]
TAJO-404;0;2;2;[null]
TAJO-407;0;2;2;[null]
TAJO-410;0;2;2;[null]
TAJO-411;0;2;2;[null]
TAJO-414;0;2;2;[null]
TAJO-415;0;2;2;[null]
TAJO-417;0;2;2;[null]
TAJO-418;0;2;2;[null]
TAJO-422;0;2;1;[0]
TAJO-426;2;2;2;[]
TAJO-427;2;2;2;[]
TAJO-431;2;2;2;[]
TAJO-442;0;2;2;[null]
TAJO-448;0;2;2;[null]
TAJO-450;2;2;2;[]
TAJO-451;0;2;2;[null]
TAJO-452;0;2;2;[null]
TAJO-454;0;2;2;[null]
TAJO-467;0;2;2;[null]
TAJO-469;2;2;2;[]
TAJO-470;0;2;2;[null]
TAJO-479;0;2;2;[null]
TAJO-484;0;2;2;[null]
TAJO-485;0;2;2;[null]
TAJO-488;0;2;2;[null]
TAJO-490;2;2;2;[]
TAJO-493;0;2;2;[null]
TAJO-496;2;2;2;[]
TAJO-502;2;2;2;[]
TAJO-503;2;2;2;[]
TAJO-506;2;2;2;[]
TAJO-511;0;2;2;[null]
TAJO-518;0;2;2;[null]
TAJO-522;2;2;2;[]
TAJO-537;2;2;2;[]
TAJO-538;0;2;2;[null]
TAJO-544;2;2;2;[]
TAJO-551;0;2;2;[null]
TAJO-552;0;2;2;[null]
TAJO-554;0;2;2;[null]
TAJO-556;2;2;2;[]
TAJO-558;2;2;2;[]
TAJO-559;0;2;1;[null]
TAJO-560;0;2;2;[null]
TAJO-563;2;2;2;[]
TAJO-565;0;2;2;[null]
TAJO-566;0;2;2;[null]
TAJO-567;0;2;2;[null]
TAJO-568;0;2;2;[null]
TAJO-569;0;2;2;[null]
TAJO-570;0;2;2;[null]
TAJO-575;2;2;2;[]
TAJO-577;0;2;2;[null]
TAJO-581;0;2;2;[null]
TAJO-582;2;2;2;[]
TAJO-583;0;2;2;[null]
TAJO-586;2;2;2;[]
TAJO-588;2;2;2;[]
TAJO-590;2;2;2;[]
TAJO-593;0;2;2;[null]
TAJO-594;2;2;2;[]
TAJO-595;0;2;2;[null]
TAJO-597;0;2;1;[0]
TAJO-606;2;2;2;[]
TAJO-609;0;2;2;[null]
TAJO-610;0;2;2;[null]
TAJO-612;2;2;2;[]
TAJO-619;0;2;2;[null]
TAJO-620;2;2;2;[]
TAJO-628;2;2;2;[]
TAJO-630;2;2;2;[]
TAJO-635;2;2;2;[]
TAJO-638;2;2;2;[]
TAJO-640;2;2;2;[]
TAJO-641;2;2;2;[]
TAJO-645;2;2;2;[]
TAJO-646;2;2;2;[]
TAJO-647;2;2;2;[]
TAJO-648;2;2;2;[]
TAJO-650;2;2;2;[]
TAJO-651;2;2;2;[]
TAJO-652;2;2;2;[]
TAJO-653;2;2;2;[]
TAJO-663;2;2;2;[]
TAJO-666;0;2;3;[null]
TAJO-672;2;2;2;[]
TAJO-679;2;2;2;[]
TAJO-682;2;2;2;[]
TAJO-687;0;2;2;[null]
TAJO-689;2;2;2;[]
TAJO-690;2;2;2;[]
TAJO-692;0;2;2;[null]
TAJO-693;0;2;2;[null]
TAJO-698;0;2;2;[null]
TAJO-701;2;2;2;[]
TAJO-705;2;2;2;[]
TAJO-706;0;2;2;[null]
TAJO-707;2;2;2;[]
TAJO-708;2;2;2;[]
TAJO-712;0;2;2;[null]
TAJO-713;0;2;2;[null]
TAJO-716;2;2;2;[]
TAJO-718;2;2;2;[]
TAJO-719;2;2;2;[]
TAJO-729;0;2;2;[null]
TAJO-738;0;2;2;[null]
TAJO-739;0;2;2;[null]
TAJO-741;2;2;2;[]
TAJO-748;2;2;2;[]
TAJO-754;0;2;1;[0]
TAJO-759;2;2;2;[]
TAJO-763;2;2;2;[]
TAJO-765;2;2;2;[]
TAJO-766;0;2;2;[null]
TAJO-772;2;2;2;[]
TAJO-777;0;2;2;[null]
TAJO-786;0;2;2;[null]
TAJO-787;0;2;2;[null]
TAJO-792;0;2;2;[null]
TAJO-795;2;2;3;[2]
TAJO-799;0;2;2;[null]
TAJO-800;0;2;3;[null]
TAJO-802;0;2;2;[null]
TAJO-803;0;2;3;[null]
TAJO-805;0;2;2;[null]
TAJO-806;0;2;2;[null]
TAJO-808;0;2;3;[null]
TAJO-812;0;3;3;[null]
TAJO-813;0;3;3;[null]
TAJO-816;0;3;3;[null]
TAJO-819;0;3;3;[null]
TAJO-821;0;3;3;[null]
TAJO-823;0;3;3;[null]
TAJO-827;0;3;3;[null]
TAJO-829;0;3;3;[null]
TAJO-830;0;3;3;[null]
TAJO-832;0;3;3;[null]
TAJO-833;0;3;3;[null]
TAJO-839;0;3;3;[null]
