Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,RANDOM FOREST,NO,NO,NO,139,25,129,9,0.8475609756097561,0.9391891891891891,0.9596349596349596,0.7752189141856392,
BOOKKEEPER,2,RANDOM FOREST,NO,NO,NO,176,3,189,96,0.9832402234636871,0.6470588235294118,0.9215590533088235,0.5894465894465895,
BOOKKEEPER,3,RANDOM FOREST,NO,NO,NO,416,23,174,5,0.9476082004555809,0.9881235154394299,0.9925244462664432,0.893080906068882,
BOOKKEEPER,4,RANDOM FOREST,NO,NO,NO,392,16,105,77,0.9607843137254902,0.835820895522388,0.8936368922800402,0.5927289461573861,
BOOKKEEPER,5,RANDOM FOREST,NO,NO,NO,418,86,111,3,0.8293650793650794,0.9928741092636579,0.8146906688209122,0.6265531429502588,
BOOKKEEPER,6,RANDOM FOREST,NO,NO,NO,468,0,0,188,1.0,0.7134146341463414,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,NO,NO,NO,2,6,148,146,0.25,0.013513513513513514,0.8209020709020709,-0.025925263722510264,
BOOKKEEPER,2,NAIVE BAYES,NO,NO,NO,91,8,184,181,0.9191919191919192,0.33455882352941174,0.8025045955882353,0.2586230217773569,
BOOKKEEPER,3,NAIVE BAYES,NO,NO,NO,379,8,189,42,0.979328165374677,0.9002375296912114,0.9242015023451535,0.8218917516859761,
BOOKKEEPER,4,NAIVE BAYES,NO,NO,NO,333,9,112,136,0.9736842105263158,0.7100213219616205,0.8399178840155773,0.45749362689766254,
BOOKKEEPER,5,NAIVE BAYES,NO,NO,NO,397,126,71,24,0.7590822179732314,0.9429928741092637,0.8114110710539325,0.3518660942765652,
BOOKKEEPER,6,NAIVE BAYES,NO,NO,NO,417,0,0,239,1.0,0.635670731707317,NaN,0.0,
BOOKKEEPER,1,IBK,NO,NO,NO,130,20,134,18,0.8666666666666667,0.8783783783783784,0.8712925587925588,0.7483112553732784,
BOOKKEEPER,2,IBK,NO,NO,NO,176,9,183,96,0.9513513513513514,0.6470588235294118,0.7992876838235294,0.5626884963377854,
BOOKKEEPER,3,IBK,NO,NO,NO,414,83,114,7,0.8329979879275654,0.9833729216152018,0.7840288411685978,0.6263352368155861,
BOOKKEEPER,4,IBK,NO,NO,NO,378,17,104,91,0.9569620253164557,0.8059701492537313,0.8319529859556997,0.5424057450628366,
BOOKKEEPER,5,IBK,NO,NO,NO,403,100,97,18,0.8011928429423459,0.9572446555819477,0.7314467607943379,0.5056201103683919,
BOOKKEEPER,6,IBK,NO,NO,NO,446,0,0,210,1.0,0.6798780487804879,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,154,148,NaN,0.0,0.5,0.0,
BOOKKEEPER,2,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,9,0,192,263,1.0,0.03308823529411765,0.5165441176470589,0.027540481958434265,
BOOKKEEPER,3,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,32,0,197,389,1.0,0.07600950118764846,0.5380047505938242,0.04983202244970552,
BOOKKEEPER,4,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,148,0,121,321,1.0,0.31556503198294245,0.6577825159914712,0.15903661536548755,
BOOKKEEPER,5,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,252,41,156,169,0.8600682593856656,0.5985748218527316,0.695226497220782,0.3329084124063204,
BOOKKEEPER,6,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,198,0,0,458,1.0,0.3018292682926829,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1,4,150,147,0.2,0.006756756756756757,0.4903913653913654,-0.019585923176675794,
BOOKKEEPER,2,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1,1,191,271,0.5,0.003676470588235294,0.49923406862745096,-0.0012693577050013128,
BOOKKEEPER,3,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1,2,195,420,0.3333333333333333,0.0023752969121140144,0.4961115063240773,-0.004970983329865195,
BOOKKEEPER,4,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,87,6,115,382,0.9354838709677419,0.18550106609808104,0.5679571446192885,0.06313178852938048,
BOOKKEEPER,5,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,382,87,110,39,0.814498933901919,0.9073634204275535,0.73286952747266,0.49802091257204006,
BOOKKEEPER,6,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,11,0,0,645,1.0,0.01676829268292683,NaN,0.0,
BOOKKEEPER,1,IBK,NO,NO,SENSITIVE THRESHOLD,127,20,134,21,0.8639455782312925,0.8581081081081081,0.8641189891189891,0.7283338452762297,
BOOKKEEPER,2,IBK,NO,NO,SENSITIVE THRESHOLD,176,9,183,96,0.9513513513513514,0.6470588235294118,0.8000919117647058,0.5626884963377854,
BOOKKEEPER,3,IBK,NO,NO,SENSITIVE THRESHOLD,414,83,114,7,0.8329979879275654,0.9833729216152018,0.7810265623304435,0.6263352368155861,
BOOKKEEPER,4,IBK,NO,NO,SENSITIVE THRESHOLD,378,17,104,91,0.9569620253164557,0.8059701492537313,0.8327371407425681,0.5424057450628366,
BOOKKEEPER,5,IBK,NO,NO,SENSITIVE THRESHOLD,403,100,97,18,0.8011928429423459,0.9572446555819477,0.724815221191989,0.5056201103683919,
BOOKKEEPER,6,IBK,NO,NO,SENSITIVE THRESHOLD,446,0,0,210,1.0,0.6798780487804879,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,154,148,NaN,0.0,0.9472841347841348,0.0,
BOOKKEEPER,2,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,192,272,NaN,0.0,0.9067478553921569,0.0,
BOOKKEEPER,3,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,21,0,197,400,1.0,0.0498812351543943,0.97370895981287,0.03238685737100442,
BOOKKEEPER,4,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,39,0,121,430,1.0,0.08315565031982942,0.8736189183950378,0.03586711155363346,
BOOKKEEPER,5,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,245,30,167,176,0.8909090909090909,0.5819477434679335,0.8222867960017844,0.3589017917392661,
BOOKKEEPER,6,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,48,0,0,608,1.0,0.07317073170731707,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1,4,150,147,0.2,0.006756756756756757,0.8264742014742015,-0.019585923176675794,
BOOKKEEPER,2,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1,1,191,271,0.5,0.003676470588235294,0.8069469975490197,-0.0012693577050013128,
BOOKKEEPER,3,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,2,2,195,419,0.5,0.004750593824228029,0.9250696311658246,-0.0034556968860160213,
