Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
OPENJPA,1,RANDOM FOREST,NO,NO,NO,53,0,678,303,1.0,0.14887640449438203,0.9945498160485234,0.18658774047823018,
OPENJPA,2,RANDOM FOREST,NO,NO,NO,363,0,842,20,1.0,0.9477806788511749,0.9960199822627959,0.9614653849057554,
OPENJPA,3,RANDOM FOREST,NO,NO,NO,386,3,856,59,0.9922879177377892,0.8674157303370786,0.9844423225333874,0.890941367225755,
OPENJPA,4,RANDOM FOREST,NO,NO,NO,247,2,917,222,0.9919678714859438,0.5266524520255863,0.9883610859119605,0.5925255104046802,
OPENJPA,5,RANDOM FOREST,NO,NO,NO,465,9,1577,128,0.9810126582278481,0.7841483979763912,0.9612295826253751,0.8306568589466137,
OPENJPA,6,RANDOM FOREST,NO,NO,NO,567,10,1614,27,0.9826689774696707,0.9545454545454546,0.9980448989069679,0.95707400661784,
OPENJPA,7,RANDOM FOREST,NO,NO,NO,539,159,1788,935,0.7722063037249284,0.3656716417910448,0.5139657504604725,0.3034101239077201,
OPENJPA,8,RANDOM FOREST,NO,NO,NO,1467,9,833,61,0.9939024390243902,0.9600785340314136,0.9753178203230901,0.9364081287200671,
OPENJPA,9,RANDOM FOREST,NO,NO,NO,1679,186,840,0,0.9002680965147453,1.0,0.9408041312997271,0.8486303533552959,
OPENJPA,10,RANDOM FOREST,NO,NO,NO,1852,2436,980,3,0.4319029850746269,0.9983827493261456,0.7475770434991195,0.21949147464194177,
OPENJPA,11,RANDOM FOREST,NO,NO,NO,573,1419,1173,55,0.2876506024096386,0.9124203821656051,0.8174008585947944,0.2002154202042042,
OPENJPA,12,RANDOM FOREST,NO,NO,NO,494,18,3029,210,0.96484375,0.7017045454545454,0.9869049661365874,0.7773029330889092,
OPENJPA,13,RANDOM FOREST,NO,NO,NO,470,36,3161,192,0.9288537549407114,0.7099697885196374,0.9484479407148129,0.7707147190470134,
OPENJPA,14,RANDOM FOREST,NO,NO,NO,487,2,3131,172,0.9959100204498977,0.7389984825493171,0.9981561012608935,0.822092509694735,
OPENJPA,15,RANDOM FOREST,NO,NO,NO,635,13,3173,8,0.9799382716049383,0.9875583203732504,0.9997569069187805,0.9804353427604637,
OPENJPA,16,RANDOM FOREST,NO,NO,NO,195,443,3225,10,0.3056426332288401,0.9512195121951219,0.936917839189297,0.4158310744736143,
OPENJPA,17,RANDOM FOREST,NO,NO,NO,0,161,3753,0,0.0,NaN,NaN,0.0,
OPENJPA,1,NAIVE BAYES,NO,NO,NO,37,7,671,319,0.8409090909090909,0.10393258426966293,0.9244452454343575,0.11820902394106814,
OPENJPA,2,NAIVE BAYES,NO,NO,NO,109,70,772,274,0.6089385474860335,0.2845953002610966,0.7980982120154053,0.23567479721984416,
OPENJPA,3,NAIVE BAYES,NO,NO,NO,104,43,816,341,0.7074829931972789,0.23370786516853934,0.8560188879151351,0.2189887356544146,
OPENJPA,4,NAIVE BAYES,NO,NO,NO,82,53,866,387,0.6074074074074074,0.17484008528784648,0.8143446454962866,0.1419121510927018,
OPENJPA,5,NAIVE BAYES,NO,NO,NO,171,164,1422,422,0.5104477611940299,0.28836424957841483,0.6974778255775131,0.2141233208723279,
OPENJPA,6,NAIVE BAYES,NO,NO,NO,127,44,1580,467,0.7426900584795322,0.2138047138047138,0.9527976812459571,0.241174808619584,
OPENJPA,7,NAIVE BAYES,NO,NO,NO,172,1173,774,1302,0.12788104089219332,0.11668928086838534,0.30766656282950006,-0.49099562420459897,
OPENJPA,8,NAIVE BAYES,NO,NO,NO,1492,826,16,36,0.6436583261432269,0.9764397905759162,0.9442531960801382,-0.0057738926315913,
OPENJPA,9,NAIVE BAYES,NO,NO,NO,1558,951,75,121,0.620964527700279,0.927933293627159,0.7865978890711658,0.0012254944170774237,
OPENJPA,10,NAIVE BAYES,NO,NO,NO,580,2473,943,1275,0.1899770717327219,0.31266846361185985,0.32799944134783515,-0.35839324924409216,
OPENJPA,11,NAIVE BAYES,NO,NO,NO,481,2100,492,147,0.1863618752421542,0.7659235668789809,0.5536203998584572,-0.020320271027199223,
OPENJPA,12,NAIVE BAYES,NO,NO,NO,125,79,2968,579,0.6127450980392157,0.17755681818181818,0.8866242317331503,0.20858787511110471,
OPENJPA,13,NAIVE BAYES,NO,NO,NO,164,266,2931,498,0.3813953488372093,0.24773413897280966,0.7492421142555284,0.19108032797140406,
OPENJPA,14,NAIVE BAYES,NO,NO,NO,71,28,3105,588,0.7171717171717171,0.10773899848254932,0.9609361794050024,0.148689398196843,
OPENJPA,15,NAIVE BAYES,NO,NO,NO,138,206,2980,505,0.4011627906976744,0.21461897356143078,0.924620642995844,0.18413234800959813,
OPENJPA,16,NAIVE BAYES,NO,NO,NO,77,219,3449,128,0.26013513513513514,0.375609756097561,0.9043706944703035,0.261175703527132,
OPENJPA,17,NAIVE BAYES,NO,NO,NO,0,125,3789,0,0.0,NaN,NaN,0.0,
OPENJPA,1,IBK,NO,NO,NO,253,19,659,103,0.9301470588235294,0.7106741573033708,0.8403910211792781,0.7231702392865295,
OPENJPA,2,IBK,NO,NO,NO,323,185,657,60,0.6358267716535433,0.8433420365535248,0.8133950000930273,0.5726827337484178,
OPENJPA,3,IBK,NO,NO,NO,398,7,852,47,0.9827160493827161,0.8943820224719101,0.9349491831369112,0.9058546694297748,
OPENJPA,4,IBK,NO,NO,NO,451,106,813,18,0.8096947935368043,0.9616204690831557,0.9227015087781982,0.8091084733957246,
OPENJPA,5,IBK,NO,NO,NO,508,198,1388,85,0.7195467422096318,0.8566610455311973,0.862221929233236,0.6906203827503944,
OPENJPA,6,IBK,NO,NO,NO,571,37,1587,23,0.9391447368421053,0.9612794612794613,0.9685012066477584,0.9315337711165943,
OPENJPA,7,IBK,NO,NO,NO,585,81,1866,889,0.8783783783783784,0.3968792401628223,0.6830304284711755,0.3806205497564942,
OPENJPA,8,IBK,NO,NO,NO,1467,25,817,61,0.9832439678284183,0.9600785340314136,0.9620325577346382,0.92154275384857,
OPENJPA,9,IBK,NO,NO,NO,1015,215,811,664,0.8252032520325203,0.604526503871352,0.6937109831689939,0.36399844322797476,
OPENJPA,10,IBK,NO,NO,NO,1591,2803,613,264,0.3620846609012289,0.8576819407008086,0.5219404325293371,0.02828571152074933,
OPENJPA,11,IBK,NO,NO,NO,581,1422,1170,47,0.29006490264603096,0.9251592356687898,0.685656994574192,0.2058195596680486,
